"","Analyte1","Analyte2","interaction_coeff","Pval","FDRadjPval","rsquared"
"LQK1__V__TF17","LQK1","TF17",0.0724118889325845,2.72810598203341e-05,0.0363177469913656,0.194853336529035
"MGC72104__V__QI9128","MGC72104","QI9128",0.0724265456968615,2.09916963010574e-05,0.0322091604153232,0.149983842641161
"MGC52282__V__QI5972","MGC52282","QI5972",0.0727452722764492,5.25487031002069e-05,0.0487851408383632,0.167756073420539
"SPN__V__QI9128","SPN","QI9128",0.0728123573619814,1.98157704705147e-05,0.0313594928542779,0.146715240430481
"SNHG6__V__QI11631","SNHG6","QI11631",0.0728645616617552,2.5566495415685e-05,0.0352142606423008,0.121448516530407
"PSCDBP__V__TF17","PSCDBP","TF17",0.0730379145782443,4.26063827162749e-05,0.0444258042489073,0.190080777542932
"LOC100133372__V__TF16.2","LOC100133372","TF16.2",0.0735204767782988,3.62780861525815e-06,0.0142147517356578,0.155787398635328
"RBM12B__V__TF02","RBM12B","TF02",0.0735565912556369,1.72521543509852e-05,0.0292471212055248,0.110667479526916
"PPP3R1__V__TF16.2","PPP3R1","TF16.2",0.0737651195430226,3.44981262987344e-05,0.0403643525060997,0.152279541229991
"PHB2__V__QI11631","PHB2","QI11631",0.0739309274627892,3.1622706797173e-05,0.0387344364125126,0.120670538649656
"ERGIC3__V__QI11631","ERGIC3","QI11631",0.0741259144458176,2.27149417125741e-05,0.0333949753356323,0.121337876364579
"ZFAND5__V__TF16.2","ZFAND5","TF16.2",0.0741424004065536,3.7813233576078e-05,0.0421030486359241,0.155914572307352
"FRAT1__V__QI5972","FRAT1","QI5972",0.0742123688606839,5.54191785915555e-05,0.0499290201148135,0.172210002834343
"REEP5__V__TF16.2","REEP5","TF16.2",0.0743405244428021,4.25018670683291e-05,0.044371574951618,0.154472850862519
"HERPUD1__V__TF25.2","HERPUD1","TF25.2",0.0744870792083696,3.43349909882148e-05,0.0402856358644724,0.101247963885204
"PLEKHB2__V__QI9128","PLEKHB2","QI9128",0.0745272708043949,5.08855390652089e-05,0.0481699347454104,0.144969598152644
"BHLHB2__V__TF16.2","BHLHB2","TF16.2",0.0753804867499156,3.58470880144593e-05,0.0411695996655855,0.151118445209991
"ATP5E__V__QI11631","ATP5E","QI11631",0.0757527253161585,1.54826968569615e-06,0.0095345669107263,0.136605238714197
"RB1CC1__V__TF16.2","RB1CC1","TF16.2",0.0758208079296118,5.14989124962921e-05,0.0484063577955979,0.151813639023897
"LOC100133298__V__QI9128","LOC100133298","QI9128",0.0758264353012673,3.24379656564276e-05,0.0391739669401505,0.14117086455819
"PRKAR1A__V__TF16.2","PRKAR1A","TF16.2",0.0760084425909123,3.98680671843796e-05,0.0430693396209402,0.158213420638695
