"Supplementary Table 7. Chromosome-specific precision and recall for chromatin states assigned using SOM-VN, CAGT, and magnitude-based modeling.",,,,,,,,
Sample,Method,Chromosome,Promoter Precision,Promoter Recall,Enhancer Precision,Enhancer Recall,Weak Precision,Weak Recall
,,2,0.55,0.47,0.36,0.91,0.98,0.52
,,3,0.57,0.52,0.36,0.9,0.98,0.55
,,4,0.59,0.51,0.15,0.89,0.56,0
,,5,0.53,0.54,0.3,0.89,0.98,0.25
,,6,0.6,0.37,0.37,0.9,0.98,0.78
,,7,0.54,0.45,0.34,0.91,0.98,0.53
,,8,0.56,0.5,0.34,0.91,0.97,0.22
,,9,0.6,0.55,0.37,0.9,0.98,0.53
,,10,0.53,0.41,0.39,0.91,0.98,0.66
,,11,0.64,0.39,0.42,0.87,0.98,0.83
,,12,0.67,0.4,0.39,0.89,0.98,0.8
,,13,0.59,0.53,0.16,0.88,0.67,0.01
,,14,0.59,0.48,0.43,0.9,0.99,0.72
,,15,0.58,0.45,0.4,0.88,0.97,0.66
,,16,0.68,0.36,0.48,0.89,0.97,0.83
,,17,0.7,0.14,0.44,0.79,0.9,0.79
,,18,0.62,0.54,0.24,0.92,0.97,0.06
,,19,0.74,0.03,0.39,0.76,0.78,0.63
,,20,0.58,0.4,0.49,0.87,0.97,0.77
,,21,0.67,0.52,0.31,0.92,0.95,0.13
,,22,0.69,0.35,0.53,0.9,0.94,0.66
,,Mean,0.61,0.42,0.37,0.88,0.93,0.53
,,Stdev,0.06,0.13,0.09,0.04,0.11,0.28
,,Difference,0.03,0.07,-0.06,0,0,-0.04
Brain (L),SOM-VN,1,N/A,N/A,N/A,N/A,0.83,1
,,2,N/A,N/A,N/A,N/A,0.88,1
,,3,N/A,N/A,N/A,N/A,0.9,1
,,4,N/A,N/A,N/A,N/A,0.93,1
,,5,N/A,N/A,N/A,N/A,0.9,1
,,6,N/A,N/A,N/A,N/A,0.87,1
,,7,N/A,N/A,N/A,N/A,0.88,1
,,8,N/A,N/A,N/A,N/A,0.9,1
,,9,N/A,N/A,N/A,N/A,0.85,1
,,10,N/A,N/A,N/A,N/A,0.86,1
,,11,N/A,N/A,N/A,N/A,0.83,1
,,12,N/A,N/A,N/A,N/A,0.86,1
,,13,N/A,N/A,N/A,N/A,0.92,1
,,14,N/A,N/A,N/A,N/A,0.85,1
,,15,N/A,N/A,N/A,N/A,0.85,1
,,16,N/A,N/A,N/A,N/A,0.75,1
,,17,N/A,N/A,N/A,N/A,0.71,1
,,18,N/A,N/A,N/A,N/A,0.89,1
,,19,N/A,N/A,N/A,N/A,0.57,1
